id,mig_year,autumn_locs,autumn_start,autumn_end,spring_locs,spring_start,spring_end,mean_spring,prop_locs_in_mag
REKI_74,2016,432,2016-10-02T03:00:00Z,2016-11-26T21:00:00Z,506,2017-02-12T03:00:00Z,2017-03-18T18:00:00Z,2017-03-01T10:30:00Z,0.148221343873518
REKI_747,2019,283,2019-09-08T05:00:06Z,2019-10-05T18:00:06Z,192,2020-04-05T05:10:00Z,2020-04-18T15:03:00Z,2020-04-11T22:06:30Z,0
REKI_75,2016,258,2016-10-09T03:00:00Z,2016-11-19T16:00:00Z,109,2017-04-02T03:00:00Z,2017-04-08T21:00:00Z,2017-04-05T12:00:00Z,0
REKI_77,2016,119,2016-11-27T12:00:00Z,2016-12-10T21:00:00Z,258,2017-01-29T07:00:00Z,2017-02-18T21:00:00Z,2017-02-08T14:00:00Z,0.368217054263566
REKI_791,2019,1260,2019-10-13T03:10:12Z,2019-12-07T18:17:42Z,88,2020-03-15T05:00:38Z,2020-03-21T18:00:37Z,2020-03-18T11:30:37.500Z,0.818181818181818
REKI_82,2016,167,2016-10-23T03:00:00Z,2016-11-05T19:00:00Z,114,2017-04-02T03:00:00Z,2017-04-08T21:00:00Z,2017-04-05T12:00:00Z,0
REKI_832,2019,1037,2019-09-15T04:20:12Z,2019-09-28T19:03:22Z,490,2020-04-05T05:00:06Z,2020-04-11T20:34:34Z,2020-04-08T12:47:20Z,0
REKI_84,2017,79,2017-09-17T00:01:00Z,2017-10-07T12:00:00Z,226,2018-03-04T00:00:00Z,2018-03-24T19:00:00Z,2018-03-14T09:30:00Z,0.13716814159292
REKI_896,2020,1257,2020-08-02T03:00:35Z,2020-10-24T18:51:20Z,2619,2021-04-18T05:20:07Z,2021-07-31T20:55:30Z,2021-06-09T13:07:48.500Z,0.152193784277879
REKI_91,2016,215,2016-10-02T01:00:00Z,2016-10-15T21:00:00Z,337,2017-04-16T03:00:00Z,2017-05-06T21:00:00Z,2017-04-26T12:00:00Z,0.275964391691395
REKI_95,2016,364,2016-09-18T03:00:00Z,2016-10-22T21:00:00Z,353,2017-04-02T03:00:00Z,2017-05-06T21:00:00Z,2017-04-19T12:00:00Z,0.00341296928327645
REKI_970,2020,959,2020-09-27T04:50:13Z,2020-10-10T18:33:07Z,1115,2021-04-25T05:57:53Z,2021-05-29T19:33:41Z,2021-05-12T12:45:47Z,0.204930662557781
REKI_98,2016,419,2016-09-25T04:00:00Z,2016-10-29T19:00:00Z,333,2017-02-26T04:00:00Z,2017-06-17T21:00:00Z,2017-04-23T00:30:00Z,0.00113378684807256
REKI_984,2020,1356,2020-11-01T05:20:21Z,2020-12-19T18:01:04Z,1236,2021-03-07T05:30:07Z,2021-07-24T20:45:01Z,2021-05-16T01:07:34Z,0.54072731392319
REKI_988,2020,2602,2020-08-09T04:40:06Z,2020-10-31T18:42:46Z,1323,2021-04-04T06:26:34Z,2021-06-05T19:34:54Z,2021-05-05T13:00:44Z,0
REKI_99,2016,623,2016-10-30T03:00:00Z,2016-12-31T21:00:00Z,325,2017-07-02T12:12:00Z,2017-07-29T21:00:00Z,2017-07-16T04:36:00Z,0.0422222222222222
